company,normalized_domain,location,public_signal,source_url,source_date,likely_decision_maker_role,score,tier,recommended_resource_angle,scoring_basis
"Roof Now","roofnowjax.com","Jacksonville / Duval, Nassau, Clay and St. Johns counties","Offers 24/7 emergency repair for residential and commercial properties, storm-damage and insurance assistance, free estimates, and service across four counties.","https://www.roofnowjax.com/services/emergency-roof-repair/","2026-09-03","Owner or Operations Manager",9,"Tier 1","After-hours answering","24/7 emergency positioning +2; storm/urgent demand +2; residential/commercial routes +2; multiple counties +1; free estimate CTA +1; insurance-intake complexity +1."
"Burger Roofing Company","burgerroofingco.com","Jacksonville / Duval, Clay, Nassau and St. Johns counties","Publishes weekday-only office hours with weekends closed, free no-obligation inspections, emergency roof repairs, residential and commercial services, and a broad Northeast Florida territory.","https://burgerroofingco.com/areas-we-serve/","2026-09-03","Owner or General Manager",8,"Tier 1","After-hours answering","Published coverage gap +2; multiple territories +1; inspection CTA +1; residential/commercial routes +2; emergency/storm demand +2."
"Model City Roofing","modelcityroofing.com","Jacksonville / Orlando / Tampa / Sarasota / Tennessee","Offers free online estimates and instant storm-damage reports, serves residential and commercial customers, and publishes five regional phone routes.","https://www.modelcityroofing.com/locations/jacksonville-fl","2026-09-03","Regional General Manager or Director of Sales",8,"Tier 1","Roofing marketing ROI","Multiple locations +1; storm positioning +2; residential/commercial routes +2; digital estimate CTA +1; multi-market attribution need +1; established inbound funnel +1."
"SPC Roofers","spcroofers.com","Jacksonville / Northeast Florida","Promotes 24/7 emergency roof repair, free storm inspections, insurance assistance, and a Jacksonville operating history dating to 1978.","https://www.spcroofers.com/storm-damage-assessment/","2026-09-03","Owner or Operations Manager",8,"Tier 1","Storm lead follow-up","24/7 emergency positioning +2; storm/insurance demand +2; free inspection CTA +1; established high-inbound brand +2; regional service +1."
"Sea Glass Exteriors","seaglassjax.com","Jacksonville / Duval, St. Johns and Clay counties","Lists 24-hour availability, rapid storm assessments, roofing inspections and repairs, multiple exterior services, three-county coverage, and an online quote flow.","https://www.seaglassjax.com/","2026-09-03","Owner or Operations Manager",8,"Tier 1","Roofing lead qualification questions","24-hour availability +2; storm/urgent demand +2; multiple services/routes +1; multiple counties +1; quote CTA +1; structured digital intake +1."
"1st Impressions Contractors","1stimpressionscontractors.com","Jacksonville","Offers free storm-damage inspections and serves multifamily, residential and commercial roofing customers with insurance-claim support.","https://1stimpressionscontractors.com/storm-damage-insurance-claims/","2026-09-03","Owner or Director of Sales",7,"Tier 2","Roofing lead qualification questions","Storm positioning +2; multifamily/residential/commercial routes +2; inspection CTA +1; insurance-intake complexity +1; broad property-services funnel +1."
"Steel Rudder Roofing","steelrudder.com","Jacksonville / Duval and St. Johns counties","Promotes storm and emergency roofing, free inspections, residential, landlord and commercial work, insurance assistance, and numerous neighborhood-specific service pages.","https://steelrudder.com/storm-damage-roof-repair/","2026-09-03","Owner or Operations Manager",8,"Tier 1","Roofing lead qualification questions","Storm/urgent positioning +2; residential/commercial/landlord routes +2; inspection CTA +1; multiple territories +1; insurance-intake complexity +1; established local demand +1."
"Armada Construction","armadaconstructionjax.com","Jacksonville / surrounding communities","Advertises 24-hour emergency roof repair, free inspections, residential and commercial roofing, and wider construction, HVAC, plumbing, water, fire, mold and storm-restoration services.","https://armadaconstructionjax.com/roofing/roof-repair/","2026-09-03","Owner or General Manager",8,"Tier 1","AI receptionist buyer's guide","24-hour emergency positioning +2; storm/urgent demand +2; residential/commercial routes +2; free inspection CTA +1; multi-service routing complexity +1."
"JA Edwards of America","jaeofamerica.com","Jacksonville / multi-location Florida","Offers free storm and hail inspections, same-day response for active leaks, photo documentation, residential and commercial roofing, and multiple Florida offices.","https://jaeofamerica.com/jacksonville-fl/storm-damage-repair-jacksonville-fl/","2026-09-03","Regional Operations Manager or Sales Director",8,"Tier 1","Storm lead follow-up","Storm positioning +2; same-day urgent response +2; multiple locations +1; inspection CTA +1; residential/commercial routes +2."
"Top Gun Roofing","topgunroofingjax.com","Jacksonville / Duval, Clay, Nassau and St. Johns counties","Publishes Monday-Friday office hours, free storm-damage inspections and estimates, residential and commercial service, insurance assistance, and coverage across six Northeast Florida areas.","https://topgunroofingjax.com/storm-damage-roofing/","2026-09-03","Owner or Operations Manager",8,"Tier 1","After-hours answering","Published coverage gap +2; storm/urgent demand +2; residential/commercial routes +2; multiple territories +1; inspection CTA +1."
"First Coast Roofing Company","fcroofingcompany.com","Jacksonville / Ponte Vedra Beach","Promotes hurricane and tropical-storm repair for residential and commercial roofs, including inspection, emergency coverage and restoration routes.","https://fcroofingcompany.com/storm-damage-repair/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Storm lead follow-up","Storm/urgent positioning +2; residential/commercial routes +2; multiple coastal territories +1; inspection and emergency intake +1; strong repair demand +1."
"SEC Roofing & Construction","secconstructiongroup.com","Jacksonville / Northeast Florida","Offers free storm-damage inspections with documentation, fast roof repair, residential and commercial roofing, and multiple disposition paths for insurance, real-estate and homeowner needs.","https://secconstructiongroup.com/storm-damage-roof-inspection/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Roofing lead qualification questions","Storm positioning +2; free inspection CTA +1; residential/commercial routes +2; documentation/intake complexity +1; multiple caller needs +1."
"Prime Roofing","primeroofingfl.com","Jacksonville / Jacksonville Beach / Northeast Florida","Offers free no-obligation estimates, storm-damage repair, an online estimate form, and numerous Jacksonville-area location pages.","https://primeroofingfl.com/blog/what-to-do-about-storm-damage-to-your-roof/","2026-09-03","Owner or Sales Manager",6,"Tier 2","Roofing appointment scheduling","Storm positioning +2; estimate CTA +1; multiple territories +1; structured online intake +1; residential repair/replacement demand +1."
"Avenue Roofing","avenueroofing.com","Jacksonville / Jacksonville Beach / Northeast Florida","Promotes storm-damage assessment and insurance guidance, free inspections and repair estimates, and an online form that separates inspection, repair and replacement needs.","https://avenueroofing.com/roofing/jacksonville-beach-fl/","2026-09-03","Owner or Sales Manager",7,"Tier 2","Missed-call text-back","Storm positioning +2; free inspection CTA +1; structured service-choice intake +1; insurance complexity +1; multiple Northeast Florida territories +1; repair/replacement routes +1."
"Vigilante & Family Roofing Services","vigilanteroofing.com","Jacksonville / North and Southwest Florida","Offers free inspections, emergency and storm repair, and residential and commercial roof repair and replacement across multiple Florida regions.","https://vigilanteroofing.com/","2026-09-03","Owner or Operations Manager",7,"Tier 2","Roofing lead qualification questions","Storm/urgent positioning +2; residential/commercial routes +2; multiple regions +1; inspection CTA +1; broad roof-type intake +1."
